taxon1,taxon2,taxon3,taxon4,CF12_34,CF12_34_lo,CF12_34_hi,CF13_24,CF13_24_lo,CF13_24_hi,CF14_23,CF14_23_lo,CF14_23_hi,ngenes
Smi165,Adi003,Asu001,Ama006,0.615537634408602,0.580645161290323,0.650537634408602,0.132056451612903,0.104838709677419,0.158602150537634,0.252403225806452,0.220430107526882,0.28494623655914,372
Smi165,Ape009,Ama006,Aga002,0.0650967741935484,0.0537634408602151,0.0806451612903226,0.0893333333333333,0.0752688172043011,0.104838709677419,0.845569892473118,0.825268817204301,0.862903225806452,372
Smi165,Ape001,Aru127,Ama006,0.105010752688172,0.0887096774193548,0.123655913978495,0.80913440860215,0.787634408602151,0.827956989247312,0.0858548387096774,0.0725806451612903,0.102150537634409,372
Smi165,Adi003,Asu001,Aza135,0.653319892473118,0.618279569892473,0.688172043010753,0.119956989247312,0.0940860215053763,0.145161290322581,0.22672311827957,0.196236559139785,0.258064516129032,372
Smi165,Ape009,Aru127,Asu001,0.258120967741935,0.225806451612903,0.293010752688172,0.41714247311828,0.379032258064516,0.454301075268817,0.324736559139785,0.290322580645161,0.360215053763441,372
Smi165,Adi003,Aga001,Aru127,0.572879032258064,0.537634408602151,0.60752688172043,0.20075,0.174731182795699,0.231182795698925,0.226370967741935,0.196236559139785,0.258064516129032,372
Smi165,Ape001,Aru127,Adi001,0.218225806451613,0.190860215053763,0.247311827956989,0.194516129032258,0.166666666666667,0.223118279569892,0.587258064516129,0.553763440860215,0.620967741935484,372
Smi165,Ape001,Aru127,Aza135,0.104376344086022,0.0887096774193548,0.123655913978495,0.799784946236559,0.776881720430108,0.82258064516129,0.0958387096774194,0.0779569892473118,0.115591397849462,372
Smi165,Ape009,Aga001,Aru127,0.292927419354839,0.260752688172043,0.327956989247312,0.333712365591398,0.301075268817204,0.368279569892473,0.373360215053763,0.338709677419355,0.408602150537634,372
Smi165,Asu001,Ama018,Aga002,0.0949623655913979,0.0806451612903226,0.112903225806452,0.835583333333333,0.814516129032258,0.854838709677419,0.0694543010752688,0.0537634408602151,0.0860215053763441,372
Aru001,Aza037,Aga001,Aru127,0.0466424731182796,0.0403225806451613,0.0537634408602151,0.0535161290322581,0.0456989247311828,0.0645161290322581,0.899841397849462,0.887096774193548,0.911290322580645,372
Smi165,Aga001,Aza135,Aga002,0.0622284946236559,0.0537634408602151,0.0698924731182796,0.906685483870968,0.897849462365591,0.916666666666667,0.0310860215053763,0.0268817204301075,0.0376344086021505,372
Aru001,Aza037,Adi002,Aga001,0.357451612903226,0.32258064516129,0.39247311827957,0.395575268817204,0.360215053763441,0.43010752688172,0.246970430107527,0.21505376344086,0.279569892473118,372
Aru001,Aza037,Ape001,Ama006,0.229354838709677,0.204301075268817,0.258064516129032,0.48672311827957,0.454301075268817,0.518817204301075,0.283924731182796,0.255376344086022,0.314516129032258,372
Aru001,Aza037,Adi003,Ape001,0.0958682795698925,0.0833333333333333,0.110215053763441,0.849161290322581,0.830645161290323,0.865591397849462,0.0549704301075269,0.043010752688172,0.0672043010752688,372
Aru001,Aza037,Age001,Ape009,0.0701075268817204,0.0591397849462366,0.0833333333333333,0.872217741935484,0.852150537634409,0.889784946236559,0.0576747311827957,0.043010752688172,0.0725806451612903,372
Smi165,Ama006,Adi001,Aza135,0.0497634408602151,0.0403225806451613,0.0618279569892473,0.917185483870968,0.900537634408602,0.932795698924731,0.0330537634408602,0.0241935483870968,0.0456989247311828,372
Smi165,Aga001,Adi001,Aza135,0.149763440860215,0.123655913978495,0.17741935483871,0.614970430107527,0.580645161290323,0.647849462365591,0.235266129032258,0.206989247311828,0.266129032258065,372
Aru001,Aza037,Adi003,Aga001,0.362943548387097,0.330645161290323,0.397849462365591,0.38241935483871,0.346774193548387,0.416666666666667,0.254637096774194,0.223118279569892,0.287634408602151,372
Aru001,Aza037,Ape001,Aga001,0.11177688172043,0.0967741935483871,0.129032258064516,0.0585376344086022,0.0456989247311828,0.0725806451612903,0.829685483870968,0.809139784946237,0.849462365591398,372
Smi165,Aga001,Ama018,Aga002,0.0524408602150538,0.0456989247311828,0.0591397849462366,0.918274193548387,0.908602150537634,0.924731182795699,0.0292849462365591,0.0241935483870968,0.0349462365591398,372
Smi165,Aga001,Ama006,Adi001,0.142583333333333,0.118279569892473,0.169354838709677,0.264763440860215,0.233870967741935,0.295698924731183,0.592653225806452,0.559139784946237,0.626344086021505,372
Smi165,Aru127,Asu001,Ama006,0.379338709677419,0.344086021505376,0.416666666666667,0.347051075268817,0.311827956989247,0.381720430107527,0.273610215053763,0.239247311827957,0.309139784946237,372
Aru001,Aza037,Ape009,Ama018,0.242715053763441,0.217741935483871,0.268817204301075,0.444755376344086,0.413978494623656,0.475806451612903,0.312532258064516,0.28494623655914,0.341397849462366,372
Smi165,Ama018,Aza135,Aga002,0.0968978494623656,0.0779569892473118,0.118279569892473,0.088244623655914,0.0725806451612903,0.104838709677419,0.81485752688172,0.790322580645161,0.838709677419355,372
Aru001,Aza037,Age001,Aga002,0.351784946236559,0.31989247311828,0.387096774193548,0.401887096774194,0.368279569892473,0.438172043010753,0.246327956989247,0.21505376344086,0.279569892473118,372
Aru001,Aza037,Ape009,Adi001,0.0723521505376344,0.0591397849462366,0.0860215053763441,0.0451827956989247,0.032258064516129,0.0618279569892473,0.882465053763441,0.862903225806452,0.900537634408602,372
Aru001,Aza037,Ape001,Asu001,0.102604838709677,0.0887096774193548,0.120967741935484,0.06175,0.0483870967741935,0.0779569892473118,0.835645161290323,0.814516129032258,0.854838709677419,372
Smi165,Aga001,Asu001,Ama018,0.0849274193548387,0.0698924731182796,0.102150537634409,0.0848360215053763,0.0725806451612903,0.0994623655913978,0.830236559139785,0.811827956989247,0.849462365591398,372
Aru001,Aza037,Adi003,Aza135,0.0683333333333333,0.0564516129032258,0.0833333333333333,0.853064516129032,0.833333333333333,0.870967741935484,0.0785994623655914,0.0645161290322581,0.0940860215053763,372
Smi165,Asu001,Adi001,Aza135,0.139486559139785,0.112903225806452,0.166666666666667,0.640489247311828,0.60752688172043,0.674731182795699,0.220024193548387,0.190860215053763,0.25,372
Aru001,Aza037,Adi002,Adi001,0.974104838709677,0.967741935483871,0.978494623655914,0.0108252688172043,0.00806451612903226,0.0161290322580645,0.0150698924731183,0.0134408602150538,0.0188172043010753,372
Aru001,Aza037,Adi002,Adi003,0.973897849462366,0.967741935483871,0.978494623655914,0.0201559139784946,0.0161290322580645,0.0268817204301075,0.00594623655913979,0.00537634408602151,0.00806451612903226,372
Smi165,Aru127,Aza135,Aga002,0.391322580645161,0.35752688172043,0.42741935483871,0.27497311827957,0.241935483870968,0.309139784946237,0.333704301075269,0.301075268817204,0.368279569892473,372
Smi165,Aru127,Ama006,Aga002,0.357615591397849,0.32258064516129,0.39247311827957,0.293397849462366,0.260752688172043,0.327956989247312,0.348983870967742,0.314516129032258,0.384408602150538,372
Smi165,Aga001,Asu001,Aza135,0.102591397849462,0.0860215053763441,0.120967741935484,0.0866612903225806,0.0725806451612903,0.102150537634409,0.810747311827957,0.790322580645161,0.830645161290323,372
Aru001,Aza037,Age001,Adi001,0.604193548387097,0.56989247311828,0.637096774193548,0.193787634408602,0.166666666666667,0.223118279569892,0.202018817204301,0.172043010752688,0.233870967741935,372
Aru001,Aza037,Adi002,Asu001,0.353077956989247,0.31989247311828,0.389784946236559,0.43010752688172,0.39247311827957,0.467741935483871,0.216811827956989,0.185483870967742,0.25,372
Aru001,Aza037,Ape001,Adi001,0.0904193548387097,0.0779569892473118,0.104838709677419,0.0516370967741935,0.0403225806451613,0.0645161290322581,0.857943548387097,0.838709677419355,0.873655913978495,372
Smi165,Aru127,Ama018,Aza135,0.813956989247312,0.790322580645161,0.836021505376344,0.0841397849462366,0.0698924731182796,0.102150537634409,0.101903225806452,0.0860215053763441,0.120967741935484,372
Smi165,Aru127,Ama006,Adi001,0.14427688172043,0.115591397849462,0.174731182795699,0.237478494623656,0.206989247311828,0.268817204301075,0.618244623655914,0.583333333333333,0.653225806451613,372
Aru001,Aza037,Age001,Aru127,0.0396559139784946,0.032258064516129,0.0483870967741935,0.0730591397849462,0.0645161290322581,0.0833333333333333,0.887284946236559,0.873655913978495,0.897849462365591,372
Smi165,Aga001,Asu001,Ama006,0.0807983870967742,0.0672043010752688,0.0967741935483871,0.0813682795698925,0.0672043010752688,0.0967741935483871,0.837833333333333,0.817204301075269,0.854838709677419,372
Smi165,Aru127,Asu001,Aga002,0.821819892473118,0.801075268817204,0.841397849462366,0.103145161290323,0.0887096774193548,0.120967741935484,0.0750349462365591,0.0591397849462366,0.0913978494623656,372
Smi165,Asu001,Adi001,Aga002,0.0776451612903226,0.0645161290322581,0.0913978494623656,0.851032258064516,0.833333333333333,0.868279569892473,0.0713225806451613,0.0564516129032258,0.0860215053763441,372
